Date,Province,Confirm_New,Confirm_Tot,Confirm_Acc,Death_New,Death_Tot,Test_New,Test_Total,Test_Curr
01/20/20,Incheon,1,1,1,,,,,
01/24/20,Seoul,1,1,2,,,,,
01/26/20,Gyeonggi-do,1,1,3,,,,,
01/27/20,Gyeonggi-do,1,2,4,,,,,
01/30/20,Seoul,3,4,7,,,,,
01/31/20,Seoul,3,7,10,,,,,
01/31/20,Jeollabuk-do,1,1,11,,,,,
01/01/20,Gyeonggi-do,1,3,12,,,,,
02/02/20,Gyeonggi-do,2,5,14,,,,,
02/02/20,Chungcheongnam-do,1,1,15,,,,,
02/04/20,Seoul,,,,,,,210,16
02/04/20,Gwangju,1,1,16,,,,,
02/05/20,Seoul,,,,,,35,245,35
02/05/20,Gwangju,1,2,17,,,,,
02/05/20,Gyeonggi-do,1,6,18,,,,,
02/06/20,Seoul,3,10,21,,,28,,28
02/06/20,Gyeonggi-do,1,,22,,,,,
02/06/20,Jeollanam-do,1,,23,,,,,
02/07/20,Seoul,1,11,24,,,,,
02/09/20,Gyeonggi-do,3,,27,,,,,
02/11/20,Gyeonggi-do,1,,28,,,,,
02/12/20,Seoul,,,,,,,664,97
02/16/20,Seoul,1,12,29,,,,,
02/17/20,Seoul,1,13,30,,,,2555,184
02/18/20,Daegu,1,1,31,,,,,
02/19/20,Seoul,2,15,33,,,,3051,319
02/19/20,Daegu,15,16,48,,,,,
02/19/20,Gyeongsangbuk-do,3,,51,,,,419,83
02/20/20,Seoul,2,17,53,,,,,
02/20/20,Daegu,30,,83,,,,,
02/20/20,Gyeongsangbuk-do,21,,104,1,1,,954,288
02/21/20,Seoul,5,22,109,,,,3820,445
02/21/20,Daegu,80,,189,,,,,
02/21/20,Gwangju,2,,191,,,,,
02/21/20,Gyeonggi-do,2,,193,,,,,
02/21/20,Chungcheongbuk-do,1,,194,,,,,
02/21/20,Chungcheongnam-do,1,,195,,,,,
02/21/20,Jeollabuk-do,1,,196,,,,,
02/21/20,Gyeongsangbuk-do,3,,199,1,2,,,
02/21/20,Gyeongsangnam-do,4,,203,,,,,
02/22/20,Jeju-do,1,,204,,,,,
02/22/20,Seoul,3,25,207,,,,,
02/22/20,Busan,3,,210,,,,,
02/22/20,Daegu,83,,293,,,,,
02/22/20,Gwangju,3,,296,,,,,
02/22/20,Daejeon,2,,298,,,,,
02/22/20,Ulsan,1,,299,,,,,
02/22/20,Sejong,1,,300,,,,,
02/22/20,Gyeonggi-do,6,,306,,,,,
02/22/20,Gangwon-do,5,,311,,,,,
02/22/20,Chungcheongbuk-do,2,,313,,,,,
02/22/20,Jeollabuk-do,1,,314,,,,,
02/22/20,Jeollanam-do,1,,315,,,,,
02/22/20,Gyeongsangbuk-do,117,,432,,,,,
02/22/20,Jeju-do,1,,433,,,,,
02/23/20,Seoul,1,26,434,,,,,
02/23/20,Busan,8,,442,,,,,
02/23/20,Daegu,117,,559,1,1,,,
02/23/20,Gwangju,2,,561,,,,,
02/23/20,Daejeon,1,,562,,,,,
02/23/20,Gyeonggi-do,4,,566,,,,,
02/23/20,Gyeongsangbuk-do,25,,591,2,4,,,
02/23/20,Gyeongsangnam-do,10,,601,,,,,
02/23/20,Jeju-do,1,,602,,,,,
02/24/20,Seoul,4,30,606,,,,,
02/24/20,Busan,15,,621,,,,,
02/24/20,Daegu,173,,794,,,,,
02/24/20,Gwangju,1,,795,,,,,
02/24/20,Ulsan,1,,796,,,,,
02/24/20,Gyeonggi-do,11,,807,,,,,
02/24/20,Gyeongsangbuk-do,23,,830,3,7,,,
02/24/20,Gyeongsangnam-do,3,,833,,,,,
02/25/20,Seoul,6,36,839,,,,5197,949
02/25/20,Busan,8,,847,,,,,
02/25/20,Daegu,60,,907,,,,,
02/25/20,Ulsan,1,,908,,,,,
02/25/20,Gyeonggi-do,7,,915,,,,,
02/25/20,Chungcheongbuk-do,1,,916,,,,,
02/25/20,Chungcheongnam-do,1,,917,,,,,
02/25/20,Gyeongsangbuk-do,56,,973,3,10,,,
02/25/20,Gyeongsangnam-do,3,,976,,,,,
02/26/20,Seoul,8,44,984,,,1681,6878,1463
02/26/20,Busan,16,,1000,,,,,
02/26/20,Daegu,167,,1167,1,2,,,
02/26/20,Incheon,1,,1168,,,,,
02/26/20,Daejeon,2,,1170,,,,,
02/26/20,Ulsan,1,,1171,,,,,
02/26/20,Gyeonggi-do,9,,1180,1,1,,,
02/26/20,Chungcheongnam-do,1,,1181,,,,,
02/26/20,Gyeongsangbuk-do,68,,1249,,,,,
02/26/20,Gyeongsangnam-do,11,,1260,,,,,
02/27/20,Seoul,7,51,1267,,,1360,8238,2279
02/27/20,Busan,3,,1270,,,,,
02/27/20,Daegu,422,,1692,1,3,,,
02/27/20,Daejeon,4,,1696,,,,,
02/27/20,Ulsan,5,,1701,,,,,
02/27/20,Gyeonggi-do,11,,1712,,,,,
02/27/20,Chungcheongbuk-do,3,,1715,,,,,
02/27/20,Chungcheongnam-do,9,,1724,,,,,
02/27/20,Jeollabuk-do,2,,1726,,,,,
02/27/20,Gyeongsangbuk-do,28,,1754,,,,,
02/27/20,Gyeongsangnam-do,9,,1763,,,,,
02/28/20,Seoul,6,57,1769,,,2325,10563,2810
02/28/20,Busan,4,,1773,,,,,
02/28/20,Daegu,447,,2220,,,,,
02/28/20,Incheon,1,,2221,,,,,
02/28/20,Daejeon,5,,2226,,,,,
02/28/20,Ulsan,3,,2229,,,,,
02/28/20,Gyeonggi-do,10,,2239,,,,,
02/28/20,Gangwon-do,1,,2240,,,,,
02/28/20,Chungcheongbuk-do,1,,2241,,,,,
02/28/20,Chungcheongnam-do,23,,2264,,,,,
02/28/20,Gyeongsangbuk-do,64,,2328,,,,,
02/28/20,Gyeongsangnam-do,6,,2334,,,,,
02/29/20,Seoul,15,72,2349,,,,,
02/29/20,Busan,15,,2364,,,,,
02/29/20,Daegu,657,,3021,3,6,,,
02/29/20,Incheon,2,,3023,,,,,
02/29/20,Daejeon,-1,,3022,,,,,
02/29/20,Ulsan,3,,3025,,,,,
02/29/20,Gyeonggi-do,10,,3035,,,,,
02/29/20,Chungcheongbuk-do,1,,3036,,,,,
02/29/20,Chungcheongnam-do,20,,3056,,,,,
02/29/20,Jeollanam-do,2,,3058,,,,,
02/29/20,Gyeongsangbuk-do,79,,3137,,,,,
02/29/20,Gyeongsangnam-do,10,,3147,,,,,
03/01/20,Seoul,14,86,3161,,,,,
03/01/20,Busan,8,,3169,,,,,
03/01/20,Daegu,846,,4015,1,7,,,
03/01/20,Incheon,1,,4016,,,,,
03/01/20,Daejeon,1,,4017,,,,,
03/01/20,Ulsan,3,,4020,,,,,
03/01/20,Gyeonggi-do,10,,4030,,,,,
03/01/20,Gangwon-do,12,,4042,,,,,
03/01/20,Chungcheongbuk-do,1,,4043,,,,,
03/01/20,Chungcheongnam-do,23,,4066,,,,,
03/01/20,Jeollabuk-do,1,,4067,,,,,
03/01/20,Jeollanam-do,2,,4069,,,,,
03/01/20,Gyeongsangbuk-do,135,,4204,,,,,
03/01/20,Gyeongsangnam-do,5,,4209,,,,,
03/02/20,Seoul,7,93,4216,,,,14189,4104
03/02/20,Busan,2,,4218,,,,,
03/02/20,Daegu,519,,4737,,,,,
03/02/20,Gwangju,2,,4739,,,,,
03/02/20,Gyeonggi-do,2,,4741,,,,,
03/02/20,Gangwon-do,1,,4742,,,,,
03/02/20,Chungcheongbuk-do,1,,4743,,,,,
03/02/20,Chungcheongnam-do,3,,4746,,,,,
03/02/20,Jeollabuk-do,1,,4747,,,,,
03/02/20,Gyeongsangbuk-do,61,,4808,,,,,
03/02/20,Jeju-do,1,,4809,,,,,
03/03/20,Seoul,1,94,4810,,,4602,18791,5491
03/03/20,Busan,3,,4813,,,,,
03/03/20,Daegu,405,,5218,,,,,
03/03/20,Incheon,2,,5220,,,,,
03/03/20,Gwangju,2,,5222,,,,,
03/03/20,Daejeon,1,,5223,,,,,
03/03/20,Ulsan,3,,5226,,,,,
03/03/20,Gyeonggi-do,7,,5233,,,,,
03/03/20,Gangwon-do,1,,5234,,,,,
03/03/20,Chungcheongnam-do,1,,5235,,,,,
03/03/20,Gyeongsangbuk-do,89,,5324,,,,,
03/03/20,Gyeongsangnam-do,1,,5325,,,,,
03/04/20,Seoul,4,98,5329,,,2731,21522,4308
03/04/20,Busan,-1,,5328,,,,,
03/04/20,Daegu,320,,5648,,,,,
03/04/20,Gwangju,1,,5649,,,,,
03/04/20,Daejeon,1,,5650,,,,,
03/04/20,Gyeonggi-do,9,,5659,,,,,
03/04/20,Gangwon-do,2,,5661,,,,,
03/04/20,Chungcheongbuk-do,1,,5662,,,,,
03/04/20,Chungcheongnam-do,4,,5666,,,,,
03/04/20,Gyeongsangbuk-do,87,,5753,,,,,
03/04/20,Gyeongsangnam-do,9,,5762,,,,,
03/04/20,Jeju-do,1,,5763,,,,,
03/05/20,Seoul,2,100,5765,,,3286,24708,4414
03/05/20,Busan,3,,5768,,,,,
03/05/20,Daegu,367,,6135,,,,,
03/05/20,Gwangju,-1,,6134,,,,,
03/05/20,Daejeon,2,,6136,,,,,
03/05/20,Gyeonggi-do,10,,6146,,,,,
03/05/20,Gangwon-do,2,,6148,,,,,
03/05/20,Chungcheongbuk-do,3,,6151,,,,,
03/05/20,Chungcheongnam-do,4,,6155,,,,,
03/05/20,Gyeongsangbuk-do,123,,6278,,,,,
03/05/20,Gyeongsangnam-do,3,,6281,,,,,
03/06/20,Seoul,3,103,6284,,,2091,26800,4136
03/06/20,Busan,1,,6285,,,,,
03/06/20,Daegu,390,,6675,,,,,
03/06/20,Sejong,1,,6676,,,,,
03/06/20,Gyeonggi-do,10,,6686,,,,,
03/06/20,Gangwon-do,1,,6687,1,1,,,
03/06/20,Chungcheongbuk-do,5,,6692,,,,,
03/06/20,Chungcheongnam-do,2,,6694,,,,,
03/06/20,Gyeongsangbuk-do,65,,6759,,,,,
03/06/20,Gyeongsangnam-do,5,,6764,,,,,
03/07/20,Seoul,12,115,6776,,,1544,28344,3719
03/07/20,Busan,1,,6777,,,,,
03/07/20,Daegu,297,,7074,,,,,
03/07/20,Daejeon,1,,7075,,,,,
03/07/20,Ulsan,1,,7076,,,,,
03/07/20,Sejong,6,,7082,,,,,
03/07/20,Gyeonggi-do,11,,7093,,,,,
03/07/20,Gangwon-do,1,,7094,,,,,
03/07/20,Chungcheongbuk-do,4,,7098,,,,,
03/07/20,Chungcheongnam-do,1,,7099,,,,,
03/07/20,Gyeongsangbuk-do,32,,7131,,,,,
03/07/20,Gyeongsangnam-do,1,,7132,,,,,
03/08/20,Seoul,10,125,7142,,,,,
03/08/20,Busan,-1,,7141,,,,,
03/08/20,Daegu,190,,7331,,,,,
03/08/20,Gwangju,2,,7333,,,,,
03/08/20,Daejeon,3,,7336,,,,,
03/08/20,Sejong,4,,7340,,,,,
03/08/20,Gyeonggi-do,11,,7351,,,,,
03/08/20,Gangwon-do,1,,7352,,,,,
03/08/20,Chungcheongbuk-do,1,,7353,,,,,
03/08/20,Chungcheongnam-do,1,,7354,,,,,
03/08/20,Gyeongsangbuk-do,26,,7380,,,,,
03/09/20,Seoul,11,136,7391,,,,30892,3378
03/09/20,Daegu,92,,7483,3,10,,,
03/09/20,Incheon,4,,7487,,,,,
03/09/20,Daejeon,2,,7489,,,,,
03/09/20,Sejong,2,,7491,,,,,
03/09/20,Gyeonggi-do,11,,7502,,,,,
03/09/20,Chungcheongnam-do,-1,,7501,,,,,
03/09/20,Gyeongsangbuk-do,10,,7511,,,,,
03/10/20,Seoul,52,188,7563,,,2640,33532,3634
03/10/20,Busan,2,,7565,,,,,
03/10/20,Daegu,131,,7696,6,16,,,
03/10/20,Incheon,12,,7708,,,,,
03/10/20,Ulsan,1,,7709,,,,,
03/10/20,Sejong,2,,7711,,,,,
03/10/20,Gyeonggi-do,12,,7723,,,,,
03/10/20,Gangwon-do,1,,7724,,,,,
03/10/20,Chungcheongbuk-do,2,,7726,,,,,
03/10/20,Chungcheongnam-do,8,,7734,,,,,
03/10/20,Gyeongsangbuk-do,18,,7752,,,,,
03/10/20,Gyeongsangnam-do,1,,7753,,,,,
03/11/20,Seoul,19,207,7772,,,1746,35278,3759
03/11/20,Busan,1,,7773,,,,,
03/11/20,Daegu,73,,7846,4,20,,,
03/11/20,Daejeon,2,,7848,,,,,
03/11/20,Sejong,5,,7853,,,,,
03/11/20,Gyeonggi-do,3,,7856,,,,,
03/11/20,Chungcheongnam-do,2,,7858,,,,,
03/11/20,Gyeongsangbuk-do,8,,7866,2,12,,,
03/11/20,Gyeongsangnam-do,1,,7867,,,,,
03/12/20,Seoul,13,220,7880,,,2573,37851,3759
03/12/20,Busan,1,,7881,,,,,
03/12/20,Daegu,61,,7942,,,,,
03/12/20,Incheon,2,,7944,,,,,
03/12/20,Daejeon,2,,7946,,,,,
03/12/20,Ulsan,2,,7948,,,,,
03/12/20,Sejong,17,,7965,,,,,
03/12/20,Gyeonggi-do,7,,7972,1,2,,,
03/12/20,Chungcheongnam-do,1,,7973,,,,,
03/12/20,Gyeongsangbuk-do,4,,7977,,,,,
03/13/20,Seoul,13,233,7990,,,2436,40287,3910
03/13/20,Busan,3,,7993,,,,,
03/13/20,Daegu,62,,8055,3,23,,,
03/13/20,Incheon,1,,8056,,,,,
03/13/20,Sejong,6,,8062,,,,,
03/13/20,Gyeonggi-do,15,,8077,1,3,,,
03/13/20,Chungcheongbuk-do,1,,8078,,,,,
03/13/20,Gyeongsangbuk-do,6,,8084,1,13,,,
03/14/20,Seoul,9,242,8093,,,1946,42233,4136
03/14/20,Busan,3,,8096,1,1,,,
03/14/20,Daegu,41,,8137,2,25,,,
03/14/20,Incheon,2,,8139,,,,,
03/14/20,Gwangju,1,,8140,,,,,
03/14/20,Ulsan,1,,8141,,,,,
03/14/20,Sejong,1,,8142,,,,,
03/14/20,Gyeonggi-do,11,,8153,,,,,
03/14/20,Chungcheongbuk-do,3,,8156,,,,,
03/14/20,Gyeongsangbuk-do,4,,8160,,,,,
03/15/20,Seoul,6,248,8166,,,1283,43516,4154
03/15/20,Busan,1,,8167,,,,,
03/15/20,Daegu,35,,8202,,,,,
03/15/20,Sejong,1,,8203,,,,,
03/15/20,Gyeonggi-do,20,,8223,,,,,
03/15/20,Gyeongsangbuk-do,7,,8230,,,,,
03/15/20,Airport,4,,8234,,,,,
03/16/20,Seoul,12,260,8246,,,3399,46915,6133
03/16/20,Daegu,32,,8278,4,29,,,
03/16/20,Incheon,1,,8279,,,,,
03/16/20,Gyeonggi-do,31,,8310,,,,,
03/16/20,Gyeongsangbuk-do,5,,8315,2,15,,,
03/16/20,Gyeongsangnam-do,1,,8316,,,,,
03/16/20,Airport,2,,8318,,,,,
03/17/20,Seoul,5,265,8323,,,,,
03/17/20,Daegu,46,,8369,1,30,,,
03/17/20,Incheon,1,,8370,,,,,
03/17/20,Gwangju,1,,8371,,,,,
03/17/20,Ulsan,2,,8373,,,,,
03/17/20,Sejong,1,,8374,,,,,
03/17/20,Gyeonggi-do,15,,8389,,,,,
03/17/20,Gangwon-do,1,,8390,,,,,
03/17/20,Chungcheongbuk-do,1,,8391,,,,,
03/17/20,Chungcheongnam-do,3,,8394,,,,,
03/17/20,Jeollabuk-do,2,,8396,,,,,
03/17/20,Jeollanam-do,1,,8397,,,,,
03/17/20,Gyeongsangbuk-do,9,,8406,2,16,,,
03/17/20,Airport,5,,8411,,,,,
03/18/20,Seoul,12,277,8423,,,,49738,4595
03/18/20,Daegu,97,,8520,7,37,,,
03/18/20,Ulsan,6,,8526,,,,,
03/18/20,Gyeonggi-do,18,,8544,,,,,
03/18/20,Chungcheongbuk-do,1,,8545,,,,,
03/18/20,Jeollabuk-do,1,,8546,,,,,
03/18/20,Gyeongsangbuk-do,12,,8558,,,,,
03/18/20,Airport,5,,8563,,,,,
03/19/20,Seoul,17,294,8580,,,2521,52259,4415
03/19/20,Busan,1,,8581,,,,,
03/19/20,Daegu,34,,8615,2,39,,,
03/19/20,Incheon,4,,8619,,,,,
03/19/20,Gwangju,1,,8620,,,,,
03/19/20,Gyeonggi-do,14,,8634,,,,,
03/19/20,Chungcheongnam-do,1,,8635,,,,,
03/19/20,Gyeongsangbuk-do,13,,8648,1,17,,,
03/19/20,Gyeongsangnam-do,1,,8649,,,,,
03/19/20,Airport,1,,8650,,,,,
03/20/20,Seoul,15,309,8665,,,2188,54438,4067
03/20/20,Daegu,69,,8734,6,45,,,
03/20/20,Incheon,4,,8738,,,,,
03/20/20,Gyeonggi-do,12,,8750,,,,,
03/20/20,Chungcheongbuk-do,1,,8751,,,,,
03/20/20,Gyeongsangbuk-do,40,,8791,2,18,,,
03/20/20,Airport,6,,8797,,,,,
03/21/20,Seoul,10,319,8807,,,2007,56445,4174
03/21/20,Daegu,43,,8850,2,47,,,
03/21/20,Gwangju,1,,8851,,,,,
03/21/20,Daejeon,2,,8853,,,,,
03/21/20,Gyeonggi-do,16,,8869,,,,,
03/21/20,Chungcheongbuk-do,1,,8870,,,,,
03/21/20,Chungcheongnam-do,1,,8871,,,,,
03/21/20,Jeollanam-do,1,,8872,,,,,
03/21/20,Gyeongsangbuk-do,11,,8883,,,,,
03/21/20,Gyeongsangnam-do,1,,8884,,,,,
03/21/20,Airport,11,,8895,,,,,
03/22/20,Seoul,6,325,8901,,,828,57273,4164
03/22/20,Busan,1,,8902,,,,,
03/22/20,Daegu,24,,8926,7,54,,,
03/22/20,Sejong,1,,8927,,,,,
03/22/20,Gyeonggi-do,14,,8941,,,,,
03/22/20,Chungcheongbuk-do,2,,8943,,,,,
03/22/20,Gyeongsangbuk-do,2,,8945,,,,,
03/22/20,Gyeongsangnam-do,1,,8946,,,,,
03/22/20,Airport,13,,8959,,,,,
03/23/20,Seoul,4,329,8963,,,907,58180,4110
03/23/20,Busan,2,,8965,,,,,
03/23/20,Daegu,31,,8996,6,60,,,
03/23/20,Incheon,1,,8997,,,,,
03/23/20,Gyeonggi-do,15,,9012,1,4,,,
03/23/20,Chungcheongbuk-do,1,,9013,,,,,
03/23/20,Gyeongsangbuk-do,1,,9014,2,20,,,
03/23/20,Gyeongsangnam-do,1,,9015,,,,,
03/23/20,Airport,20,,9035,,,,,
03/24/20,Seoul,13,342,9048,,,1733,59913,4026
03/24/20,Busan,1,,9049,,,,,
03/24/20,Daegu,14,,9063,4,64,,,
03/24/20,Incheon,1,,9064,,,,,
03/24/20,Ulsan,1,,9065,,,,,
03/24/20,Sejong,2,,9067,,,,,
03/24/20,Gyeonggi-do,21,,9088,,,,,
03/24/20,Gangwon-do,1,,9089,,,,,
03/24/20,Chungcheongnam-do,3,,9092,,,,,
03/24/20,Jeollanam-do,2,,9094,,,,,
03/24/20,Gyeongsangbuk-do,5,,9099,2,22,,,
03/24/20,Jeju-do,2,,9101,,,,,
03/24/20,Airport,34,,9135,,,,,
03/25/20,Seoul,13,355,9148,,,2011,61924,4050
03/25/20,Busan,,,9148,1,2,,,
03/25/20,Daegu,26,,9174,2,66,,,
03/25/20,Incheon,1,,9175,,,,,
03/25/20,Daejeon,6,,9181,,,,,
03/25/20,Gyeonggi-do,14,,9195,,,,,
03/25/20,Chungcheongbuk-do,1,,9196,,,,,
03/25/20,Chungcheongnam-do,1,,9197,,,,,
03/25/20,Gyeongsangbuk-do,12,,9209,2,4,,,
03/25/20,Airport,30,,9239,,,,,
03/26/20,Seoul,12,367,9251,,,1918,63842,4081
03/26/20,Busan,1,,9252,,,,,
03/26/20,Daegu,34,,9286,4,70,,,
03/26/20,Incheon,3,,9289,,,,,
03/26/20,Gwangju,1,,9290,,,,,
03/26/20,Daejeon,1,,9291,,,,,
03/26/20,Ulsan,2,,9293,,,,,
03/26/20,Gyeonggi-do,11,,9304,,,,,
03/26/20,Chungcheongbuk-do,2,,9306,,,,,
